model_configuration,canonical_model_version,forecast_date,history_target_count,history_date_min,history_date_max,history_resolution_date_max,history_market_adjusted_brier,history_model_adjusted_brier,history_market_bi,history_model_bi,history_bi_gap,current_target_count,method,adjusted_brier,brier_index,market_adjusted_brier,model_adjusted_brier,gain_vs_market,gain_vs_model
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,anchor,0.06182488979593268,75.13538864250384,0.06182488979593268,0.06171744624754558,0.0,-0.0017408942676621398
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,partner,0.06171744624754558,75.15700375406671,0.06182488979593268,0.06171744624754558,0.0017378688217923328,0.0
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,ec_w0_56,0.05991274927239141,75.52291903179805,0.06182488979593268,0.06171744624754558,0.03092832886322537,0.02924127754598959
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,simple_mean,0.06155968616690042,75.18877549033493,0.06182488979593268,0.06171744624754558,0.0042895932351457175,0.0025561666957572456
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,log_odds_mean,0.06139595945209192,75.22179194290032,0.06182488979593268,0.06171744624754558,0.006937826258268247,0.005209010012569163
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-02,59,2024-07-21,2024-07-21,2025-03-01,0.11468641215697947,0.13951743758070828,66.134617652095,62.64796691199952,3.4866507400954845,62,piecewise_odds,0.06042695063334289,75.41810612801714,0.06182488979593268,0.06171744624754558,0.022611268167303016,0.020909737726777906
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-16,61,2024-07-21,2025-03-02,2025-03-10,0.11302746152959454,0.13705090415254537,66.38044296401355,62.97961316348175,3.4008298005318025,61,anchor,0.0570564156722817,76.11351518697619,0.0570564156722817,0.05896749370506858,0.0,0.03240900897612023
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-16,61,2024-07-21,2025-03-02,2025-03-10,0.11302746152959454,0.13705090415254537,66.38044296401355,62.97961316348175,3.4008298005318025,61,partner,0.05896749370506858,75.71677663384274,0.0570564156722817,0.05896749370506858,-0.03349453361675666,0.0
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-16,61,2024-07-21,2025-03-02,2025-03-10,0.11302746152959454,0.13705090415254537,66.38044296401355,62.97961316348175,3.4008298005318025,61,ec_w0_56,0.05653893897975197,76.22208188681103,0.0570564156722817,0.05896749370506858,0.00906956187893036,0.04118463534270686
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3-5-Sonnet-20240620,2025-03-16,61,2024-07-21,2025-03-02,2025-03-10,0.11302746152959454,0.13705090415254537,66.38044296401355,62.97961316348175,3.4008298005318025,61,simple_mean,0.057863470426380056,75.94517295294351,0.0570564156722817,0.05896749370506858,-0.014144855483630144,0.01872257424082498
