experiment,pair_id,model_a,model_b,pair_group,method,fold_records,train_target_cells,test_target_cells,train_near_bi_share,train_bi_gap,train_adjusted_pog_complementarity,train_high_loss_lift_complementarity,train_adjusted_loss_corr_complementarity,train_total_variation_complementarity,train_alignment_c,train_disagreement_d,train_alpha_clipped,train_alpha_lcb_1se,train_alpha_lcb_95,test_alignment_c,test_disagreement_d,test_alpha_clipped,test_pooled_alpha_clipped,test_partner_win_share,method_partner_weight,adjusted_brier,anchor_adjusted_brier,best_single_adjusted_brier,brier_index,gain_vs_anchor,gain_vs_best_single,mean_fold_gain_vs_anchor,mean_fold_gain_vs_best_single,model_adjusted_brier,gain_vs_model,canonical_model_version,freeze_exposure,source_model_configuration
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,anchor,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.12676764939688903,0.4404555414550936,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,best_single,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.12676764939688903,0.4404555414550936,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,cf_directional,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.0712535224010692,0.0709321357427928,0.0709321357427928,73.3093870211475,-0.004530903446102053,-0.004530903446102053,-0.004497895622504137,-0.004497895622504137,0.12676764939688903,0.43792029953962514,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,cf_directional_lcb_1se,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.07093995379585853,0.0709321357427928,0.0709321357427928,73.36778215964475,-0.00011021877437998202,-0.00011021877437998202,-0.00010853413711713996,-0.00010853413711713996,0.12676764939688903,0.44039386915066164,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,cf_lcb_1se,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.12676764939688903,0.4404555414550936,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,cf_lcb_95,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,0.0,0.0709321357427928,0.0709321357427928,0.0709321357427928,73.3692378794972,0.0,0.0,0.0,0.0,0.12676764939688903,0.4404555414550936,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,cf_linear,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,0.0017526121447765035,0.07097013003228043,0.0709321357427928,0.0709321357427928,73.36206001180624,-0.0005356428238027265,-0.0005356428238027265,-0.0005444186403510628,-0.0005444186403510628,0.12676764939688903,0.4401558254812754,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,ec_w0_56,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.0817830128245476,0.0709321357427928,0.0709321357427928,71.41095596730342,-0.1529754739248397,-0.1529754739248397,-0.15283636701542055,-0.15283636701542055,0.12676764939688903,0.35485896272716866,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,log_odds_mean,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.08295638295682146,0.0709321357427928,0.0709321357427928,71.20580633479467,-0.1695176253768787,-0.1695176253768787,-0.1694360065396611,-0.1694360065396611,0.12676764939688903,0.3456028935497697,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
polymarket_model,Claude-3-5-Sonnet-20240620 [no freeze] x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 [no freeze],claude,oracle_directional,20,7690,7690,0.0,8.948601164059488,0.01259946066319896,-4.698148962201605,-0.1768685516423615,0.14468660598179453,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.0,-0.004595484395318595,0.04664454486345904,0.0017526121447765035,0.0,0.23927178153446044,,0.07083546752102356,0.0709321357427928,0.0709321357427928,73.38746291664515,0.0013628268873755447,0.0013628268873755447,0.0013707264176425346,0.0013707264176425346,0.12676764939688903,0.44121810368788056,Claude-3-5-Sonnet-20240620,no_freeze,Claude-3-5-Sonnet-20240620
