role,path,bytes,sha256
builder,forecast_dependence_pipeline/build_raw_resolved_forecast_panel.py,46126,bc98d455201a8c305ddc6191b94b75b110b352f408cc77449b9c2de678a209fd
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_scratchpad.json,4468869,71d2c3e7fd7d830b2abe98432bd71208af88fb336dddac63dd1e58252cc404e5
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_scratchpad_with_freeze_values.json,4469205,f0fb7c79e9ad407fc023f800715e8c4d396fdfc05198b0338cd17274d267031c
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_scratchpad_with_news.json,4470016,04ff0d6012b79d7e493f741f8b6f5251151c08ffa163bb68566b4b53947f9d48
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_scratchpad_with_news_with_freeze_values.json,4470212,888d7109bea55f600a78736b669599352e1c4a33c98485847405984476d27879
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_superforecaster_with_news_1.json,4469829,d2418adf695c877552a19cff486f261784feaeb44d3481c7c1153662c0f242c1
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_superforecaster_with_news_2.json,4469966,7a6f46ea05f3612e5e22d2f7802a066af509d9085ae56ab8af594fdf1d875aa6
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_superforecaster_with_news_3.json,4470654,82ddbad01d8ccdf849ab4f9f2456e65e7e5ffa2e459111d763aa9a66b754cab4
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_zero_shot.json,4469766,d6e49dbdf67fa0b1de6d2b499f07c9991ced86ebb9dba4010e366efad7045a29
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_2p1_zero_shot_with_freeze_values.json,4471961,d13c05c5f41a9be38058bd47045981abef4e29fcf1473b482fcd7a4b7ce7216c
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_scratchpad.json,4470882,1a0a01fbeea57db76293fd072e29f7a6e67dedd3802d953c7f990c0b1a04caf1
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_scratchpad_with_freeze_values.json,4471012,a1785cf52c7af9d3a174b5b157451565ce38ec5fa24b89730e2f60863f5e5c36
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_scratchpad_with_news.json,4471406,8e2cc5ea20997f4bf457d40132e3986b6a03a85cd0a9f75cd73539c70009676b
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_scratchpad_with_news_with_freeze_values.json,4471561,62f568474ddbfdf224ee7a73d01f38049308dce4c7e4ad333f87dc5e0c557c60
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_superforecaster_with_news_1.json,4472735,58cefd01cf6781f61596077592d3842d00dbbe7e9962704152617d7ba480b1fc
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_superforecaster_with_news_2.json,4470310,e735816d134811dd0a9cb189275098addda0af5ebf4274627771771c97ca80b6
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_superforecaster_with_news_3.json,4468134,69ecc0588b95f899537844462d67a29ace9a52a55945e50ffcc45f8a5cc91234
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_zero_shot.json,4469610,7b78438f807a4f9f1f1b230d7ef013fa13d5d5eadfcdbe43c793dd981d14c1c6
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_haiku_zero_shot_with_freeze_values.json,4470078,032a4e9ef0fbaab0731b671bd7425c70ae5477005c00712ac874f40b18b18260
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_scratchpad.json,4473294,43ddf57dc2f746d60f67f2428c90d668e032245ea70c005ba2cbafcf14f97be5
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_scratchpad_with_freeze_values.json,4473606,6b9d3bb92a00de0f18e9a5c3a2ad87200904e57409e068ddb6d576a9dff03fda
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_scratchpad_with_news.json,4472891,969191fa391d133af8f2989844b07da2b3e0fd426543e1f343f4ffb493898b9b
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_scratchpad_with_news_with_freeze_values.json,4473046,bab680997ff06f8a4087264993750df37527119f33218bd67d71d0382f088bc0
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_superforecaster_with_news_1.json,4472766,0e5187d59a3a6ec8d57f19f1e44f630be048bcaa5ea661abb6b8e06b0354659c
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_superforecaster_with_news_2.json,4473176,f731f93b5096167f9ba76c8a836884c8d1cd99c22807106967ef00025e3e7e9b
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_superforecaster_with_news_3.json,4472083,539be981777a5d8ddd06f27b55a4c219e56a965d8c4c27253ea8c92a9633f685
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_zero_shot.json,4473605,8ae269923d4655fe3d221d498dce2d25a91d2aecd9874d5f30d126b7be09d46c
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3_opus_zero_shot_with_freeze_values.json,4474803,8e7c22594726043f44b247d5a602b563d2da6f6d97525fd44797ef0bbe91e097
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3p5_sonnet_scratchpad.json,4475523,3ad3b7f88b5ef0f1597a9449e6a05852c9890503c2f85175cbaa6099b8e1cf2f
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3p5_sonnet_scratchpad_with_freeze_values.json,4475947,37eb1efaef5237472813d4cfe80521e9714ef0329d0c5c6ed9aaf10afa1cb538
input_forecast,forecastbench_downloads_2026-04-15/extracted/processed_forecast_sets/forecastbench-processed-forecast-sets/2024-07-21/2024-07-21.Anthropic.claude_3p5_sonnet_scratchpad_with_news.json,4475101,7078b2433e99bed70d3fe30fcede4d2c53d107f7dd5d31f30078059e351cd271
