global_scope,comparison_mode,topic_id,metric_id,sample_id,n_pair_universe,n_sample_pairs,n_defined_pairs,spearman,pearson,dependent_top_jaccard,complementary_top_jaccard,dependency_persistence_global_to_topic,dependency_persistence_topic_to_global,complementarity_persistence_global_to_topic,complementarity_persistence_topic_to_global,dependency_to_complementarity_global_to_topic,dependency_to_complementarity_topic_to_global,quartile_transition_counts,reason,interpretation_status
official_full,leave_topic_out,climate_weather,adjusted_pog,near_bi_both,34453,1131,1131,0.5631859913630914,0.46105853703392924,0.39408866995073893,0.25,0.5653710247349824,0.5653710247349824,0.3992932862190813,0.40070921985815605,0.053003533568904596,0.06007067137809187,"{""Q1->Q1"":113,""Q1->Q2"":110,""Q1->Q3"":43,""Q1->Q4"":17,""Q2->Q1"":100,""Q2->Q2"":98,""Q2->Q3"":52,""Q2->Q4"":33,""Q3->Q1"":54,""Q3->Q2"":52,""Q3->Q3"":103,""Q3->Q4"":73,""Q4->Q1"":15,""Q4->Q2"":24,""Q4->Q3"":84,""Q4->Q4"":160}",,headline
official_full,leave_topic_out,climate_weather,high_loss_lift,near_bi_both,34453,1131,1131,0.5260891199565649,0.5642007219723109,0.4079601990049751,0.2577777777777778,0.5795053003533569,0.5795053003533569,0.4098939929328622,0.4098939929328622,0.07773851590106007,0.06713780918727916,"{""Q1->Q1"":116,""Q1->Q2"":100,""Q1->Q3"":48,""Q1->Q4"":19,""Q2->Q1"":76,""Q2->Q2"":110,""Q2->Q3"":67,""Q2->Q4"":30,""Q3->Q1"":69,""Q3->Q2"":56,""Q3->Q3"":87,""Q3->Q4"":70,""Q4->Q1"":22,""Q4->Q2"":17,""Q4->Q3"":80,""Q4->Q4"":164}",,headline
official_full,leave_topic_out,climate_weather,adjusted_loss_corr,near_bi_both,34453,1131,1131,0.45059462395746813,0.55788490083892,0.3671497584541063,0.24395604395604395,0.5371024734982333,0.5371024734982333,0.392226148409894,0.392226148409894,0.05653710247349823,0.10247349823321555,"{""Q1->Q1"":111,""Q1->Q2"":81,""Q1->Q3"":62,""Q1->Q4"":29,""Q2->Q1"":97,""Q2->Q2"":78,""Q2->Q3"":70,""Q2->Q4"":38,""Q3->Q1"":59,""Q3->Q2"":82,""Q3->Q3"":77,""Q3->Q4"":64,""Q4->Q1"":16,""Q4->Q2"":42,""Q4->Q3"":73,""Q4->Q4"":152}",,headline
official_full,leave_topic_out,climate_weather,adjusted_pog,eligible_both,34453,11327,11327,0.4040761433575164,0.3437029409435097,0.30057405281285876,0.24156071898290224,0.4622175141242938,0.4622175141242938,0.3891242937853107,0.3891242937853107,0.11334745762711865,0.09357344632768362,"{""Q1->Q1"":1102,""Q1->Q2"":982,""Q1->Q3"":483,""Q1->Q4"":265,""Q2->Q1"":844,""Q2->Q2"":844,""Q2->Q3"":623,""Q2->Q4"":521,""Q3->Q1"":565,""Q3->Q2"":648,""Q3->Q3"":881,""Q3->Q4"":737,""Q4->Q1"":321,""Q4->Q2"":358,""Q4->Q3"":844,""Q4->Q4"":1309}",,headline
official_full,leave_topic_out,climate_weather,high_loss_lift,eligible_both,34453,11327,11327,0.42157797862880625,0.599224601782106,0.37001209189842804,0.2710951526032316,0.5402542372881356,0.5400635368866925,0.4265536723163842,0.4265536723163842,0.1228813559322034,0.08965760677726792,"{""Q1->Q1"":1208,""Q1->Q2"":777,""Q1->Q3"":593,""Q1->Q4"":254,""Q2->Q1"":754,""Q2->Q2"":868,""Q2->Q3"":862,""Q2->Q4"":348,""Q3->Q1"":522,""Q3->Q2"":782,""Q3->Q3"":826,""Q3->Q4"":701,""Q4->Q1"":348,""Q4->Q2"":405,""Q4->Q3"":549,""Q4->Q4"":1530}",,headline
official_full,leave_topic_out,climate_weather,adjusted_loss_corr,eligible_both,34453,11327,11327,0.4091883386137705,0.49529602442697074,0.32607677902621723,0.26146993318485523,0.4918785310734463,0.4917049064595835,0.4145480225988701,0.4145480225988701,0.08968926553672317,0.1263678079774091,"{""Q1->Q1"":1174,""Q1->Q2"":787,""Q1->Q3"":513,""Q1->Q4"":358,""Q2->Q1"":815,""Q2->Q2"":831,""Q2->Q3"":743,""Q2->Q4"":443,""Q3->Q1"":589,""Q3->Q2"":777,""Q3->Q3"":826,""Q3->Q4"":639,""Q4->Q1"":254,""Q4->Q2"":436,""Q4->Q3"":749,""Q4->Q4"":1393}",,headline
seven_topic_union,leave_topic_out,climate_weather,adjusted_pog,near_bi_both,34453,1153,1153,0.5682170279868475,0.48959681469002825,0.391304347826087,0.2675438596491228,0.5625,0.5625,0.42214532871972316,0.42214532871972316,0.041666666666666664,0.059027777777777776,"{""Q1->Q1"":122,""Q1->Q2"":112,""Q1->Q3"":38,""Q1->Q4"":17,""Q2->Q1"":92,""Q2->Q2"":96,""Q2->Q3"":63,""Q2->Q4"":37,""Q3->Q1"":63,""Q3->Q2"":51,""Q3->Q3"":102,""Q3->Q4"":72,""Q4->Q1"":12,""Q4->Q2"":29,""Q4->Q3"":85,""Q4->Q4"":162}",,headline
seven_topic_union,leave_topic_out,climate_weather,high_loss_lift,near_bi_both,34453,1153,1153,0.5273934483131847,0.6143133324666535,0.41075794621026895,0.2681318681318681,0.5833333333333334,0.5813148788927336,0.42214532871972316,0.4236111111111111,0.0798611111111111,0.07612456747404844,"{""Q1->Q1"":122,""Q1->Q2"":101,""Q1->Q3"":44,""Q1->Q4"":22,""Q2->Q1"":81,""Q2->Q2"":111,""Q2->Q3"":69,""Q2->Q4"":27,""Q3->Q1"":62,""Q3->Q2"":61,""Q3->Q3"":93,""Q3->Q4"":72,""Q4->Q1"":23,""Q4->Q2"":16,""Q4->Q3"":81,""Q4->Q4"":168}",,headline
seven_topic_union,leave_topic_out,climate_weather,adjusted_loss_corr,near_bi_both,34453,1153,1153,0.46251924499313307,0.5826194377165687,0.381294964028777,0.25925925925925924,0.5520833333333334,0.5520833333333334,0.4117647058823529,0.4117647058823529,0.04513888888888889,0.09027777777777778,"{""Q1->Q1"":119,""Q1->Q2"":74,""Q1->Q3"":70,""Q1->Q4"":26,""Q2->Q1"":96,""Q2->Q2"":87,""Q2->Q3"":64,""Q2->Q4"":41,""Q3->Q1"":61,""Q3->Q2"":85,""Q3->Q3"":80,""Q3->Q4"":62,""Q4->Q1"":13,""Q4->Q2"":42,""Q4->Q3"":74,""Q4->Q4"":159}",,headline
seven_topic_union,leave_topic_out,climate_weather,adjusted_pog,eligible_both,34453,11327,11327,0.40128453450987667,0.3419727673783867,0.2993805918788713,0.24183293137469852,0.4608050847457627,0.4608050847457627,0.3894774011299435,0.3894774011299435,0.11334745762711865,0.09216101694915255,"{""Q1->Q1"":1103,""Q1->Q2"":986,""Q1->Q3"":482,""Q1->Q4"":261,""Q2->Q1"":835,""Q2->Q2"":839,""Q2->Q3"":624,""Q2->Q4"":534,""Q3->Q1"":573,""Q3->Q2"":648,""Q3->Q3"":878,""Q3->Q4"":732,""Q4->Q1"":321,""Q4->Q2"":359,""Q4->Q3"":847,""Q4->Q4"":1305}",,headline
