pair_id,model_a,model_b,split,train_fold,train_bi_gap,train_category_coverage,test_scope,test_events,test_targets,test_event_fraction,fallback_event_fraction,method,brier,bi,ece
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,type_selection,0.22514098039215624,52.55097678643361,0.14091101694915265
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,simple_mean,0.22241534313725458,52.83906880295359,0.13760593220338968
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,log_odds_mean,0.21983273550509627,53.11367624721508,0.13237583157898944
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,ec_w0_56,0.2192687709220354,53.17385656259579,0.13174470518354436
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,piecewise_odds,0.21849964422403886,53.25605448573699,0.12692262874096574
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,model_a,0.23351166666666617,51.676955118011634,0.1319915254237288
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,model_b,0.23034352941176398,52.00588271342372,0.15211864406779654
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,complementary,102,472,0.5666666666666667,0.0,train_selected_single,0.23034352941176398,52.00588271342372,0.15211864406779654
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,type_selection,0.21249572222222177,53.902741706016634,0.16155555555555542
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,simple_mean,0.21242677777777846,53.91022046290757,0.16654901960784305
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,log_odds_mean,0.20978920247472418,54.19724872076742,0.16076883819209717
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,ec_w0_56,0.2083920346108126,54.350023591373834,0.1573491658710236
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,piecewise_odds,0.20753850358161072,54.44360598317611,0.15128717384258886
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,model_a,0.22837616666666563,52.21128096855225,0.15916339869281032
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,model_b,0.21544383333333286,53.58407241761371,0.17137254901960758
p-feba1dc1f7ef,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news with freeze values),20260910,0,1.4487351597093436,0.6095890410958904,all,180,765,1.0,0.43333333333333335,train_selected_single,0.21544383333333286,53.58407241761371,0.17137254901960758
p-d25179e1b1ba,Claude-2.1 (scratchpad with freeze values),Claude-2.1 (scratchpad with news),20260910,0,1.0246638238988766,0.6164383561643836,complementary,100,470,0.5714285714285714,0.0,type_selection,0.22841779999999937,52.20692518784762,0.14074468085106392
