global_scope,comparison_mode,topic_id,metric_id,sample_id,n_focal_model_universe,n_reportable_focal_models,n_limited_focal_models,n_headline_focal_models,median_spearman,q25_spearman,q75_spearman,min_spearman,max_spearman,fraction_negative_spearman,median_defined_partners,mean_dependent_top_jaccard,mean_complementary_top_jaccard,reason,interpretation_status
official_full,leave_topic_out,climate_weather,adjusted_pog,near_bi_both,263,11,11,0,,,,,,,,,,reportable_focal_model_count_11_below_reporting_min_30,insufficient
official_full,leave_topic_out,climate_weather,high_loss_lift,near_bi_both,263,11,11,0,,,,,,,,,,reportable_focal_model_count_11_below_reporting_min_30,insufficient
official_full,leave_topic_out,climate_weather,adjusted_loss_corr,near_bi_both,263,11,11,0,,,,,,,,,,reportable_focal_model_count_11_below_reporting_min_30,insufficient
official_full,leave_topic_out,climate_weather,adjusted_pog,eligible_both,263,263,201,62,0.32094753023452877,0.14878379361063518,0.46601226494769843,-0.5296321065635516,0.8386819121182031,0.06844106463878327,93.0,0.2674470739365095,0.27411126609473613,,headline
official_full,leave_topic_out,climate_weather,high_loss_lift,eligible_both,263,263,201,62,0.4249394541740308,0.19999253804871214,0.5763690785164257,-0.5292408257462873,0.7893079368517917,0.06844106463878327,93.0,0.30874746751516413,0.29342773368917924,,headline
official_full,leave_topic_out,climate_weather,adjusted_loss_corr,eligible_both,263,263,201,62,0.40924581431948354,0.2090535789242478,0.5750240723171758,-0.5102652860254842,0.8487541011623251,0.08365019011406843,93.0,0.3326849761032051,0.2833076305306454,,headline
official_full,leave_topic_out,entertainment_culture,adjusted_pog,near_bi_both,263,0,0,0,,,,,,,,,,reportable_focal_model_count_0_below_reporting_min_30,insufficient
official_full,leave_topic_out,entertainment_culture,high_loss_lift,near_bi_both,263,0,0,0,,,,,,,,,,reportable_focal_model_count_0_below_reporting_min_30,insufficient
official_full,leave_topic_out,entertainment_culture,adjusted_loss_corr,near_bi_both,263,0,0,0,,,,,,,,,,reportable_focal_model_count_0_below_reporting_min_30,insufficient
official_full,leave_topic_out,entertainment_culture,adjusted_pog,eligible_both,263,4,4,0,,,,,,,,,,reportable_focal_model_count_4_below_reporting_min_30,insufficient
official_full,leave_topic_out,entertainment_culture,high_loss_lift,eligible_both,263,0,0,0,,,,,,,,,,reportable_focal_model_count_0_below_reporting_min_30,insufficient
official_full,leave_topic_out,entertainment_culture,adjusted_loss_corr,eligible_both,263,4,4,0,,,,,,,,,,reportable_focal_model_count_4_below_reporting_min_30,insufficient
official_full,leave_topic_out,finance_economics,adjusted_pog,near_bi_both,263,18,18,0,,,,,,,,,,reportable_focal_model_count_18_below_reporting_min_30,insufficient
official_full,leave_topic_out,finance_economics,high_loss_lift,near_bi_both,263,18,18,0,,,,,,,,,,reportable_focal_model_count_18_below_reporting_min_30,insufficient
official_full,leave_topic_out,finance_economics,adjusted_loss_corr,near_bi_both,263,18,18,0,,,,,,,,,,reportable_focal_model_count_18_below_reporting_min_30,insufficient
